,input,target
0,هو هنيك، قدام معلومات السياح بالضبط.,إنه هنك ، بالضبط قبل المعلومات السياحية.
1,مالي سمعان من قبل بهالعنوان هون.,مالي سيمون من قبل مع هذا العنوان.
2,روح ساوي لبين ما تشوف صيدلية.,روح ما تراه صيدلية.
3,بشقد الفطور؟,مع الفطور؟
4,شلون بقدر أساعدك؟,كيف يمكنني مساعدتك؟
5,روح عاليسار عند تالت مفرق.,الروح أليسار في الفصل التالي.
6,بتريد كريمة وسكر بقهوتك؟,هل تريد كرامة وسكر قهوتك؟
7,خرج تصرفلي شيك الميتين دولار تبعي؟,خرج اثنين من الشيكات الميتة؟
8,إذا لازم يبين، اتصل فيني إذا سمحت.,إذا لزم الأمر ، اتصل بي إذا سمحت بذلك.
9,وين الكافيه؟,اين المقهى؟
10,بدي كنزة اطفال.,أريد سترة أطفال.
11,ماشي. بكلف خمسة وتمانين سنت بالبريد العادي وتلات دولارات بالضبط إضافية للتوصيل الخاص.,حسنًا ، بتكلفة خمسة واثنان من الكرات ذات السنتين ، وثلاثة دولارات بالضبط للتسليم الخاص.
12,كنت بشتري هاد لو كنت محلك.,كنت قد اشتريت هذا لو كنت متجرك.
13,رح ألاقي شي صعوبة بالجمارك؟,سأجد شيئًا صعبًا في الجمارك؟
14,عندك حذاء رسمي عريض؟,هل لديك حذاء رسمي واسع؟
15,لا. ممكن أقترح وحدة مزدوجة للاستعمال المفرد بدالها؟ في عنا وحدة.,لا. هل أقترح وحدة مزدوجة للاستخدام الفردي بدلاً من ذلك؟ في وحدتنا.
16,بدي كيرلي قوي، إذا ممكن.,أريد مجعد قوي ، إن أمكن.
17,بدها بيرة.,إنها تريد أن تكون بيرة.
18,صباح الخير. شلونك؟,صباح الخير. كيف حالك؟
19,للأسف لازم أشوف إثبات هوية.,لسوء الحظ ، لا بد لي من رؤية هوية.
20,إينا نوع من الصوص؟,إنا نوع من الصلصة؟
21,هاد بارد شوي. بدك تسخنو؟,هذا بارد. هل تريد تسخينها؟
22,آسف، هاد المحل محجوز.,آسف ، هذا المتجر محجوز.
23,ماشي حالي. بس خرج تدق لرفيقي؟,أنا بخير ، لكن الخروج إلى رفيقي؟
24,شكراً، حاج هيك.,شكرا يا هاجي.
25,مين صديقك المفضل؟,من هو صديقك المفضل؟
